,symbol,date,open,close,volume,high,low
0,IBM,2018-07-18,143.51,144.52,6817140,144.8,142.7351
1,IBM,2018-07-17,144.75,143.49,5096741,145.0,143.34
2,IBM,2018-07-16,145.67,145.46,3468817,145.79,144.21
3,IBM,2018-07-13,146.45,145.9,3067638,146.9799,145.8
4,IBM,2018-07-12,145.85,146.45,3119505,146.83,145.74
5,IBM,2018-07-11,144.0,144.94,3526565,146.19,144.0
6,IBM,2018-07-10,144.51,144.71,3776991,145.59,144.255
7,IBM,2018-07-09,142.59,144.39,3904652,144.72,142.47
8,IBM,2018-07-06,141.53,142.48,2910426,142.94,141.17
9,IBM,2018-07-05,140.48,141.43,3744730,141.43,139.93
10,IBM,2018-07-03,140.65,139.57,1963232,140.94,139.3678
11,IBM,2018-07-02,138.28,139.86,3405642,140.22,138.2
12,IBM,2018-06-29,140.32,139.7,3753684,141.359,139.61
13,IBM,2018-06-28,138.1,140.04,4523666,140.54,137.945
14,IBM,2018-06-27,139.11,137.48,4097588,139.78,137.45
15,IBM,2018-06-26,139.36,139.08,4139455,139.8499,138.33
16,IBM,2018-06-25,140.4,138.79,8937085,140.4,138.28
17,IBM,2018-06-22,141.64,141.28,6013678,141.81,140.78
18,IBM,2018-06-21,142.59,141.25,3887650,143.14,140.83
19,IBM,2018-06-20,144.22,142.63,3329917,144.52,142.41
20,IBM,2018-06-19,143.12,143.9,3487015,144.22,142.95
21,IBM,2018-06-18,144.18,144.48,4286406,144.52,143.14
22,IBM,2018-06-15,144.9,145.39,9116048,145.47,143.7
23,IBM,2018-06-14,146.65,145.2,3326343,146.98,145.09
24,IBM,2018-06-13,146.79,146.35,2968180,147.47,146.2
25,IBM,2018-06-12,147.1,146.87,2640515,147.52,146.62
26,IBM,2018-06-11,146.62,146.58,3259986,147.41,146.14
27,IBM,2018-06-08,145.0,146.14,5210468,146.43,144.37
28,IBM,2018-06-07,145.0,145.36,4316484,146.7,144.93
29,IBM,2018-06-06,144.34,144.71,3220139,144.72,143.54
30,IBM,2018-06-05,143.05,143.7,2836017,144.08,143.04
31,IBM,2018-06-04,142.3,143.04,3035257,143.17,142.18
32,IBM,2018-06-01,142.43,141.95,3857530,142.84,141.62
33,IBM,2018-05-31,142.81,141.31,6830256,142.81,141.05
34,IBM,2018-05-30,141.9,142.62,5118530,143.1,141.82
35,IBM,2018-05-29,142.53,141.22,4537638,142.89,140.21
36,IBM,2018-05-25,143.9,143.64,4914294,144.57,143.46
37,IBM,2018-05-24,144.39,144.07,3398701,144.48,142.95
38,IBM,2018-05-23,144.35,144.67,3459747,144.7,143.48
39,IBM,2018-05-22,145.52,145.09,2284020,146.204,145.0
40,IBM,2018-05-21,144.95,145.49,2894698,146.04,144.68
41,IBM,2018-05-18,144.47,144.08,2682243,144.94,143.99
42,IBM,2018-05-17,144.5,144.5,3147659,145.19,143.77
43,IBM,2018-05-16,143.7,144.63,3168659,145.0275,143.27
44,IBM,2018-05-15,143.5,143.74,4089397,143.99,142.92
45,IBM,2018-05-14,144.47,144.3,3216062,145.12,144.14
46,IBM,2018-05-11,144.11,144.14,3073167,144.85,143.58
47,IBM,2018-05-10,143.15,144.24,3726608,144.33,143.01
48,IBM,2018-05-09,141.9,142.61,4195953,143.02,141.28
49,IBM,2018-05-08,141.4428,141.4428,5369119,141.94427901818182,140.51303613986013
50,IBM,2018-05-07,142.43200670297446,141.6605,3657009,142.7485222734255,141.08711226190476
51,IBM,2018-05-04,139.56349933986516,142.3429,4402170,142.77810864429156,138.75242868459452
52,IBM,2018-05-03,140.58227547010353,140.4438,5018592,140.68118652017748,138.37655905345449
53,IBM,2018-05-02,142.88691223587224,140.8988,5194917,143.24299203931204,140.52293798525798
54,IBM,2018-05-01,143.07491113793102,143.4211,4433393,143.44088222068967,141.90776011724137
55,IBM,2018-04-30,145.26081049944813,143.3815,4415533,145.77514810982336,143.3815
56,IBM,2018-04-27,145.24108001092299,144.885,3205482,145.6466155789186,144.07392886400874
57,IBM,2018-04-26,145.00360673391492,145.1223,4265812,145.75533075245366,144.6079625136314
58,IBM,2018-04-25,144.2024334109908,144.3508,7324654,144.8057908729615,142.54171672468135
59,IBM,2018-04-24,144.9146554685353,143.975,4916476,145.69605317394888,142.9562156499038
60,IBM,2018-04-23,143.4507380433292,144.2717,5315625,144.37061107911697,142.7583604895105
61,IBM,2018-04-20,146.28953333333334,143.3222,8265643,146.3587711111111,142.93644666666665
62,IBM,2018-04-19,147.5654754434665,146.0917,8086056,147.5824881532837,145.0234600812458
63,IBM,2018-04-18,150.48332127159085,147.1698,20381695,150.96798557698773,146.64557126150953
64,IBM,2018-04-17,157.0905586725499,159.1578,10207534,160.23593064445964,156.78393436082283
65,IBM,2018-04-16,156.26961107733234,156.1707,4186755,157.40708846665402,155.9530956298689
66,IBM,2018-04-13,156.94225774998404,155.0036,4057058,157.48626885329588,154.21231112245547
67,IBM,2018-04-12,155.04307411273487,156.3487,5639444,157.24879057379644,154.96394527108242
68,IBM,2018-04-11,152.68908001416062,153.6683,3306539,154.0837266606591,152.20441557672498
69,IBM,2018-04-10,153.34182017504347,153.6979,3955952,154.8996694092284,153.06486920007725
70,IBM,2018-04-09,150.1469915515096,151.0273,4413178,152.97584791407425,150.09090897956645
71,IBM,2018-04-06,151.7889299594873,148.9304,3672919,152.2735942086737,147.91161596599588
72,IBM,2018-04-05,152.7582353307797,152.3527,3185388,153.23300840096084,151.67021371161462
73,IBM,2018-04-04,146.27963795743574,152.4418,4805261,152.78798887879574,145.84442908123538
74,IBM,2018-04-03,149.1579555555556,148.2183,4135696,149.35577777777777,146.6851777777778
75,IBM,2018-04-02,151.67029323648964,148.4359,5150435,151.70985767974946,146.8137578263477
76,IBM,2018-03-29,151.4032200417128,151.7593,3419959,152.21429105781135,149.434889161181
77,IBM,2018-03-28,150.41410007867816,150.8592,3664826,152.18460865460267,150.23606011014945
78,IBM,2018-03-27,152.2735857415575,150.2558,3810994,153.18327081337634,149.51396700678032
79,IBM,2018-03-26,149.56342100149965,151.6999,4038586,151.98377475581927,148.64354809936756
80,IBM,2018-03-23,150.59211212976024,147.2687,4389015,150.91851867821885,146.9235003472362
81,IBM,2018-03-22,153.3122131632586,150.4339,4617371,153.55939201531987,150.34488000526005
82,IBM,2018-03-21,154.86510668198352,154.9838,3240695,156.47735758504052,154.22218454272766
83,IBM,2018-03-20,155.80472619718313,154.4991,4296935,156.21026160691423,153.59900921254803
84,IBM,2018-03-19,157.9709017222752,155.6366,5415258,158.1488427730537,154.74640019065777
85,IBM,2018-03-16,158.3170778360165,158.5149,8447294,160.21617061025833,157.90165129165106
86,IBM,2018-03-15,156.981800137836,157.872,3860479,159.49414197105443,156.7938690558236
87,IBM,2018-03-14,158.42587714394128,156.3982,3614293,158.93032365292183,156.0223378952694
88,IBM,2018-03-13,158.34671515817226,157.5851,4097662,160.34689460343964,157.08065359653529
89,IBM,2018-03-12,157.90165129165106,158.5149,5056489,159.26662422313743,157.14003596031452
90,IBM,2018-03-09,155.75523660787144,157.5752,4783247,157.84473262193208,155.5870878162074
91,IBM,2018-03-08,157.2686191665066,154.509,6095521,157.83241232955635,153.38141367390048
92,IBM,2018-03-07,153.31215260232443,156.596,4607677,157.10044643759477,153.04509272359778
93,IBM,2018-03-06,155.56731250963267,154.0243,3685736,156.17066996532236,153.4672329195993
